2020/07/14 22:13:20 [emerg] 18279#0: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2020/07/14 22:13:20 [emerg] 18279#0: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2020/07/14 22:13:20 [emerg] 18279#0: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2020/07/14 22:13:20 [emerg] 18279#0: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2020/07/14 22:13:20 [emerg] 18279#0: bind() to 0.0.0.0:8080 failed (98: Address already in use)
2020/07/14 22:13:20 [emerg] 18279#0: still could not bind()
2020/07/16 19:15:07 [error] 18390#0: *439 [lua] webb_nginx.lua:17: try_call(): 404, client: 93.122.251.87, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080"
2020/07/16 19:33:14 [error] 18390#0: *456 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 93.122.251.87, server: , request: "GET /contact HTTP/1.1", host: "luapower.com:8080"
2020/07/16 19:33:18 [error] 18390#0: *456 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 93.122.251.87, server: , request: "GET /events HTTP/1.1", host: "luapower.com:8080"
2020/07/16 19:34:52 [error] 18390#0: *459 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 93.122.251.87, server: , request: "GET /events HTTP/1.1", host: "luapower.com:8080"
2020/07/16 19:58:33 [error] 18390#0: *465 [lua] webb_nginx.lua:17: try_call(): 404, client: 213.233.110.81, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080"
2020/07/16 19:58:38 [error] 18390#0: *466 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 213.233.110.81, server: , request: "GET /events HTTP/1.1", host: "luapower.com:8080"
2020/07/16 19:58:39 [error] 18390#0: *467 [lua] webb_nginx.lua:17: try_call(): 404, client: 213.233.110.81, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080", referrer: "http://luapower.com:8080/events"
2020/07/16 19:59:53 [error] 18390#0: *468 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 213.233.110.81, server: , request: "GET /contact HTTP/1.1", host: "luapower.com:8080"
2020/07/16 19:59:54 [error] 18390#0: *469 [lua] webb_nginx.lua:17: try_call(): 404, client: 213.233.110.81, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080", referrer: "http://luapower.com:8080/contact"
2020/07/16 19:59:58 [error] 18390#0: *470 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 213.233.110.81, server: , request: "GET /contact HTTP/1.1", host: "luapower.com:8080"
2020/07/16 20:01:54 [error] 18390#0: *471 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 213.233.108.100, server: , request: "GET /events HTTP/1.1", host: "luapower.com:8080"
2020/07/16 20:01:57 [error] 18390#0: *471 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 213.233.108.100, server: , request: "GET /contact HTTP/1.1", host: "luapower.com:8080"
2020/07/16 21:04:10 [error] 18390#0: *512 [lua] webb_nginx.lua:17: try_call(): 404, client: 93.122.248.53, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080"
2020/07/16 21:04:10 [error] 18390#0: *512 [lua] webb_nginx.lua:17: try_call(): 404, client: 93.122.248.53, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080"
2020/07/16 21:04:10 [error] 18390#0: *512 [lua] webb_nginx.lua:17: try_call(): 404, client: 93.122.248.53, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080"
2020/07/17 00:23:32 [error] 18390#0: *525 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 213.233.108.100, server: , request: "GET /comanda HTTP/1.1", host: "luapower.com:8080"
2020/07/17 00:23:32 [error] 18390#0: *525 [lua] webb_nginx.lua:17: try_call(): 404, client: 213.233.108.100, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080", referrer: "http://luapower.com:8080/comanda"
2020/07/17 08:39:06 [error] 18390#0: *566 [lua] webb_nginx.lua:17: try_call(): 404 <h1>404 Not Found</h1>, client: 213.233.108.100, server: , request: "GET /contact HTTP/1.1", host: "luapower.com:8080"
2020/07/17 09:59:33 [error] 18390#0: *575 [lua] webb_nginx.lua:17: try_call(): 404, client: 93.122.251.87, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080"
2020/07/17 11:57:12 [error] 18390#0: *597 [lua] webb_nginx.lua:17: try_call(): 404, client: 93.122.248.53, server: , request: "GET /favicon.ico HTTP/1.1", host: "luapower.com:8080"
